name,entry_id,band_gap,delta_e,stability
YbRu,18904,0.0,0.302793785,0.3646894524999996
LuRh,17625,0.0,-1.0133319725,0.00045345999999968356
AgI,20443,0.182,0.0174154250358414,0.38847064666666664
LuRu,17627,0.0,-0.450736697499999,0.00013830999999997484
SrTl,18140,0.0,-0.4279577375,0.003409326249999789
Gd,8139,0.0,0.0170584924999995,0.0170584924999995
LuZn,17629,0.0,-0.3552263975,0.00051768499999999
NdMg,17630,0.0,-0.114858377083335,8.959999999999524e-05
Ho,8141,0.0,0.0029490916666699,0.0029490916666699
TiFe,19423,0.0,-0.449192511893131,0.0013548600000006794
ScN,22242,0.0,-0.988540790171752,1.032536239999998
NaH,6318,4.09,-0.246102806517912,0.0025515449999999884
Tb,17349,0.0,0.0122589566666695,0.0122589566666695
PrZn,18896,0.0,-0.31002471375,0.0010678399999999866
YbSn,18136,0.0,-0.720321378425601,3.414500000009646e-05
NbRh,30785,0.0,-0.410521275000001,0.0005884449999996599
VOs,19422,0.0,-0.226330055,0.040700208749999495
Er,8142,0.0,9.97100000006412e-05,9.97100000006412e-05
ScP,22243,0.0,-1.05654787697997,0.562526055
LiBi,28740,0.0,-0.3876001425,0.0
CdAu,10705,0.0,-0.17990844,0.00543921
TaTc,18145,0.0,-0.501043217499999,2.9919999999794555e-05
TiAl,27974,0.0,-0.435995316893132,0.0001479100000002509
Lu,8145,0.0,0.00138838000000074,0.00138838000000074
HfOs,17380,0.0,-0.7081181225,0.0006704699999990904
TbTl,18148,0.0,-0.0232279698333349,0.026587412583332522
NaBi,28744,0.0,-0.366611412925824,0.0
TiHg,30536,0.0,-0.00718432937626634,0.08672383548078448
ErPd,30025,0.0,-0.931355924999999,0.024414628750001
MgPd,17638,0.0,-0.744475069583335,0.002445649999999966
CsAu,10711,1.04,-0.32039294,0.007440914999999992
RbAu,10712,0.392,-0.27690996,0.01320482406250012
PrMg,17640,0.0,-0.119384248333335,9.375000000005906e-06
TbZn,18152,0.0,-0.0123909223333349,0.11828321743114713
TbZn,18153,0.0,-0.0120051123333353,0.11866902743114673
HfRh,17386,0.0,-0.862259727500001,0.05157265499999997
DyAu,10715,0.0,-0.864565018333335,0.022499612499999988
LuCd,29007,0.0,-0.3049486225,0.0012793550000000375
CaCd,10972,0.0,-0.37364138,0.0
