mp_id_core,formula_core,band_gap_eV_core,cbm_vs_vacuum_eV_core,vbm_vs_vacuum_eV_core,mp_id_shell,formula_shell,band_gap_eV_shell,cbm_vs_vacuum_eV_shell,vbm_vs_vacuum_eV_shell,dEc_eV,dEv_eV,is_type1_shell_confines_core,confinement_score_eV
mp-1195873,KVOF3,2.7904,-1.1773758354219908,-3.967775835421991,mp-1205672,KTl2CrF6,3.5975,-0.8027572479007181,-4.400257247900718,0.37461858752127264,0.4324814124787264,True,0.807099999999999
mp-1112624,Cs2LiGdCl6,2.7824,-0.5424523710965212,-3.324852371096521,mp-1112132,Cs2RbBiBr6,3.5846,-0.1317527170192309,-3.716352717019231,0.4106996540772903,0.3915003459227102,True,0.8022000000000005
mp-582024,Cs3Cu2Cl5,2.7832,-0.4915390483063984,-3.2747390483063983,mp-1112132,Cs2RbBiBr6,3.5846,-0.1317527170192309,-3.716352717019231,0.35978633128716747,0.4416136687128329,True,0.8014000000000003
mp-1112942,Cs2PrAgI6,2.785,-0.4623892124626525,-3.247389212462653,mp-1112132,Cs2RbBiBr6,3.5846,-0.1317527170192309,-3.716352717019231,0.3306364954434216,0.4689635045565783,True,0.7995999999999999
mp-23487,KIO3,2.7868000000000004,-1.0594679202226227,-3.846267920222623,mp-560449,K3Ni2F7,3.5833000000000004,-0.5809479437636904,-4.164247943763691,0.4785199764589323,0.3179800235410677,True,0.7965
mp-1112624,Cs2LiGdCl6,2.7824,-0.5424523710965212,-3.324852371096521,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.3557860053588111,0.4402457036678018,True,0.7960317090266129
mp-1213164,CsTlF4,2.8022,-1.2157514247495316,-4.017951424749532,mp-1205672,KTl2CrF6,3.5975,-0.8027572479007181,-4.400257247900718,0.41299417684881345,0.382305823151186,True,0.7952999999999995
mp-582024,Cs3Cu2Cl5,2.7832,-0.4915390483063984,-3.2747390483063983,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.30487268256868827,0.4903590264579245,True,0.7952317090266128
mp-1206105,CaInI3,2.784509231480061,-0.626172084219808,-3.4106813156998688,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.43950571848209785,0.354416759064454,True,0.7939224775465519
mp-1224276,K2VOF4,2.7902014194948133,-0.9598848854076952,-3.750086304902508,mp-560449,K3Ni2F7,3.5833000000000004,-0.5809479437636904,-4.164247943763691,0.3789369416440048,0.4141616388611826,True,0.7930985805051874
mp-1120726,Rb3Bi2I9,2.8069,-0.5839777934702264,-3.390877793470226,mp-1112132,Cs2RbBiBr6,3.5846,-0.1317527170192309,-3.716352717019231,0.45222507645099547,0.3254749235490051,True,0.7777000000000005
mp-556379,BaVOF4,2.7943,-1.3731324379547472,-4.167432437954747,mp-556890,BaNaCr2F9,3.5693,-0.9877059075702692,-4.55700590757027,0.38542653038447794,0.38957346961552286,True,0.7750000000000008
mp-1113067,Cs2ScInCl6,2.804305520872291,-0.6762684171670632,-3.4805739380393543,mp-1112000,Cs2ScTlCl6,3.579203867091389,-0.2693350758309689,-3.8485389429223584,0.4069333413360943,0.3679650048830041,True,0.7748983462190984
mp-2759442,Cs2HgBr4,2.8128,-0.5125534148344797,-3.32535341483448,mp-1112132,Cs2RbBiBr6,3.5846,-0.1317527170192309,-3.716352717019231,0.3808006978152488,0.3909993021847513,True,0.7718
mp-557610,K2MnF4,2.806,-0.8119093470278371,-3.617909347027837,mp-28680,KGaBr4,3.5771,-0.41324329698708,-3.990343296987081,0.3986660500407571,0.3724339499592437,True,0.7711000000000008
mp-676130,TlSnF3,2.8207,-1.4755684881690676,-4.296268488169067,mp-1208140,Tl3GeF7,3.588626062156561,-1.1328540309026194,-4.7214800930591805,0.3427144572664482,0.4252116048901131,True,0.7679260621565613
mp-1113924,Rb2TlSbF6,2.80706324840277,-1.0785696714875972,-3.885632919890368,mp-1209567,Rb2SbF5,3.5733999999999995,-0.681325347674572,-4.2547253476745714,0.3972443238130252,0.36909242778420337,True,0.7663367515972286
mp-1120726,Rb3Bi2I9,2.8069,-0.5839777934702264,-3.390877793470226,mp-1111727,Rb2LaAgCl6,3.573000730854086,-0.2801643248948831,-3.853165055748969,0.3038134685753433,0.46228726227874306,True,0.7661007308540864
mp-2759442,Cs2HgBr4,2.8128,-0.5125534148344797,-3.32535341483448,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.3258870490967696,0.4397446599298429,True,0.7656317090266125
mp-1220707,NaZn2CdF7,2.8046,-1.3464680556595714,-4.151068055659572,mp-556890,BaNaCr2F9,3.5693,-0.9877059075702692,-4.55700590757027,0.3587621480893022,0.4059378519106982,True,0.7647000000000004
mp-555088,Nd4(SBr2)3,2.8096,-0.7332487292929497,-3.5428487292929494,mp-755336,NdIO,3.5729,-0.3985342468933568,-3.971434246893357,0.3347144823995929,0.4285855176004074,True,0.7633000000000003
mp-556379,BaVOF4,2.7943,-1.3731324379547472,-4.167432437954747,mp-541031,BaCrF5,3.5561000000000003,-1.0579218920996851,-4.614021892099686,0.31521054585506203,0.4465894541449389,True,0.7618000000000009
mp-1206105,CaInI3,2.784509231480061,-0.626172084219808,-3.4106813156998688,mp-989529,KRb2InCl6,3.5425000000000004,-0.2194160303774524,-3.761916030377453,0.4067560538423556,0.35123471467758405,True,0.7579907685199396
