mp_id_core,formula_core,band_gap_eV_core,is_direct_gap_core,cbm_eV_core,vbm_eV_core,efermi_eV_core,work_function_eV_core,cbm_vs_vacuum_eV_core,vbm_vs_vacuum_eV_core,dielectric_electronic_core,dielectric_ionic_core,dielectric_total_core,refractive_index_core,mp_id_shell,formula_shell,band_gap_eV_shell,is_direct_gap_shell,cbm_eV_shell,vbm_eV_shell,efermi_eV_shell,work_function_eV_shell,cbm_vs_vacuum_eV_shell,vbm_vs_vacuum_eV_shell,dielectric_electronic_shell,dielectric_ionic_shell,dielectric_total_shell,refractive_index_shell,dEc_eV,dEv_eV,is_type1_shell_confines_core
mp-96,S,2.6529,False,3.5782,0.9253,3.57792516,5.934716982443586,-5.9344421424435865,-8.587342142443585,,,,,mp-66,C,4.1144,False,13.7897,9.6753,10.0850091,4.762503746831453,-1.057812846831454,-5.172212846831454,,,,2.414480064113178,4.876629295612132,-3.4151292956121315,False
mp-570481,Se,1.6545,True,1.3551,-0.2994,-0.27420573,5.217709250802058,-3.5884035208020584,-5.2429035208020585,,,,,mp-66,C,4.1144,False,13.7897,9.6753,10.0850091,4.762503746831453,-1.057812846831454,-5.172212846831454,,,,2.414480064113178,2.5305906739706043,-0.07069067397060458,False
mp-570481,Se,1.6545,True,1.3551,-0.2994,-0.27420573,5.217709250802058,-3.5884035208020584,-5.2429035208020585,,,,,mp-96,S,2.6529,False,3.5782,0.9253,3.57792516,5.934716982443586,-5.9344421424435865,-8.587342142443585,,,,,-2.346038621641528,3.344438621641527,False
