mp_id,formula,band_gap_eV,is_direct_gap,cbm_vs_vacuum_eV,vbm_vs_vacuum_eV,offset_estimation_method,dielectric_electronic,dielectric_ionic,dielectric_total,refractive_index,energy_above_hull_eV_per_atom,is_stable
mp-1523737,NClO,2.0666,False,-2.175724525431481,-4.242324525431481,electronegativity_approx,,,,,0.1594672271527786,False
mp-1524139,BrCl,2.0215,False,-2.047615576578444,-4.069115576578445,electronegativity_approx,,,,,0.0,True
mp-1536202,AgCl,1.4229999999999996,False,-1.758074862197945,-3.1810748621979448,electronegativity_approx,,,,,0.0003699300000015171,False
mp-1643291,Fe2PClO4,3.8524000000000003,False,-0.8211145954461574,-4.673514595446157,electronegativity_approx,,,,,0.04131105593749851,False
mp-2647007,Mg2NCl,3.1071,True,-0.46145354431179175,-3.5685535443117917,electronegativity_approx,,,,,0.11322111130208334,False
mp-2756056,Bi3ClO4,1.2124000000000006,False,-2.181505360281384,-3.3939053602813845,electronegativity_approx,,,,,0.0,True
mp-2903321,AgClO4,3.2945,False,-1.432955511716595,-4.727455511716595,electronegativity_approx,,,,,0.0076869258333340795,False
mp-772199,Rb3ClO,0.6094999999999999,True,-1.1259132337320112,-1.7354132337320114,electronegativity_approx,,,,,0.1480500229999988,False
mp-772295,TmClO,4.5304,False,-0.12106412833198688,-4.6514641283319875,electronegativity_approx,,,,,0.09666152416666485,False
mp-772534,LaSCl,2.4524,False,-0.8514217887624409,-3.303821788762441,electronegativity_approx,,,,,0.0196191001388879,False
mp-775761,AgClO3,2.925,False,-1.5503946335750558,-4.475394633575055,electronegativity_approx,,,,1.7986788929656121,0.03158415249999713,False
mp-776199,AgClO3,3.1130999999999998,True,-1.4563446335750558,-4.569444633575055,electronegativity_approx,,,,,0.04860494549999839,False
mp-781992,PH8N4Cl,4.7652,True,-0.09278842369182616,-4.857988423691826,electronegativity_approx,,,,,0.08283895071428393,False
mp-864928,BrCl,1.3573,False,-2.3797155765784446,-3.737015576578444,electronegativity_approx,,,,1.7390555799055467,0.09600036749999985,False
mp-866635,CuH3NCl,2.1259,False,-1.3437966996366268,-3.4696966996366267,electronegativity_approx,,,,,0.027414603541666693,False
mp-962058,YSeCl,1.8941000000000003,True,-1.195161589668351,-3.089261589668351,electronegativity_approx,,,,,0.9861372866666658,False
mp-974724,ReClO3,3.5834,False,-1.211769335254555,-4.795169335254555,electronegativity_approx,,,,,0.04124595112903506,False
mp-976349,LuH2ClO2,4.8109,True,-0.06955173887148902,-4.880451738871489,electronegativity_approx,,,,,0.04971323874999811,False
mp-976713,HoH2ClO2,4.7027,True,-0.11048574654658161,-4.813185746546582,electronegativity_approx,,,,,0.03460745472221394,False
mp-985585,Li3ClO,4.6766000000000005,False,0.7461471797949426,-3.930452820205058,electronegativity_approx,,,,,0.15190893949999928,False
mp-985592,Li6PS5Cl,2.1375,False,-0.5866053803246059,-2.7241053803246063,electronegativity_approx,,,,1.8777200962869862,0.0829463015384615,False
mp-989192,SnClF,2.5486,False,-1.636028922877758,-4.184628922877758,electronegativity_approx,,,,2.2784206496313772,0.22900826437500044,False
mp-989194,SnBrCl,1.161,True,-2.056306668456444,-3.2173066684564438,electronegativity_approx,,,,2.4374430550613213,0.27038080166666534,False
mp-989195,ScClO,3.9186000000000005,False,-0.4950028094512633,-4.413602809451264,electronegativity_approx,,,,2.0603528670270697,0.276836695416665,False
mp-989196,SbClO,1.8554000000000004,False,-1.8863585468713078,-3.741758546871308,electronegativity_approx,,,,2.4789492437993426,0.20771221666666495,False
